provinsi,population_density,tahun,population,is_extrapolated
Nusa Tenggara Timur,107.7,2019,5264011,True
Nusa Tenggara Timur,109.0,2020,5325600,False
Nusa Tenggara Timur,111.0,2021,5387700,False
Nusa Tenggara Timur,118.0,2022,5466300,False
Nusa Tenggara Timur,120.0,2023,5569100,False
Nusa Tenggara Timur,122.0,2024,5656000,False
Nusa Tenggara Timur,124.0,2025,5742600,False
Nusa Tenggara Timur,126.0,2026,5828600,False
Papua,13.0,2025,1073600,False
Papua Barat,10.0,2024,578700,False
Papua Barat,16.0,2025,636400,False
Riau,68.9,2015,6032824,True
Riau,69.7,2016,6103408,True
Riau,70.5,2017,6174818,True
Riau,71.3,2018,6247064,True
Riau,72.2,2019,6320154,True
Riau,73.0,2020,6394100,False
Riau,75.0,2021,6493600,False
Riau,74.0,2022,6614400,False
Riau,74.0,2023,6642900,False
Riau,75.0,2024,6728100,False
Riau,76.0,2025,6811200,False
Riau,77.0,2026,6892400,False
Sulawesi Barat,80.2,2015,1339013,True
Sulawesi Barat,81.1,2016,1354680,True
Sulawesi Barat,82.1,2017,1370529,True
Sulawesi Barat,83.0,2018,1386565,True
Sulawesi Barat,84.0,2019,1402787,True
Sulawesi Barat,85.0,2020,1419200,False
Sulawesi Barat,86.0,2021,1436800,False
Sulawesi Barat,88.0,2022,1458600,False
Sulawesi Barat,89.0,2023,1481100,False
Sulawesi Barat,91.0,2024,1503200,False
Sulawesi Barat,92.0,2025,1525300,False
Sulawesi Barat,93.0,2026,1547400,False
Sulawesi Selatan,183.0,2015,8560834,True
Sulawesi Selatan,185.2,2016,8660996,True
Sulawesi Selatan,187.3,2017,8762330,True
Sulawesi Selatan,189.5,2018,8864849,True
Sulawesi Selatan,191.8,2019,8968568,True
Sulawesi Selatan,194.0,2020,9073500,False
Sulawesi Selatan,196.0,2021,9139500,False
Sulawesi Selatan,204.0,2022,9225800,False
Sulawesi Selatan,207.0,2023,9362300,False
Sulawesi Selatan,209.0,2024,9463400,False
Sulawesi Selatan,211.0,2025,9563100,False
Sulawesi Selatan,213.0,2026,9661300,False
Sulawesi Tengah,45.3,2015,2817004,True
Sulawesi Tengah,45.8,2016,2849963,True
Sulawesi Tengah,46.4,2017,2883307,True
Sulawesi Tengah,46.9,2018,2917042,True
Sulawesi Tengah,47.4,2019,2951171,True
Sulawesi Tengah,48.0,2020,2985700,False
Sulawesi Tengah,49.0,2021,3021900,False
Sulawesi Tengah,50.0,2022,3066100,False
Sulawesi Tengah,50.0,2023,3086800,False
Sulawesi Tengah,51.0,2024,3121800,False
Sulawesi Tengah,51.0,2025,3156100,False
Sulawesi Tengah,52.0,2026,3189800,False
Sulawesi Tenggara,65.1,2015,2476589,True
Sulawesi Tenggara,65.9,2016,2505566,True
Sulawesi Tenggara,66.6,2017,2534881,True
Sulawesi Tenggara,67.4,2018,2564539,True
Sulawesi Tenggara,68.2,2019,2594544,True
Sulawesi Tenggara,69.0,2020,2624900,False
Sulawesi Tenggara,70.0,2021,2659200,False
Sulawesi Tenggara,75.0,2022,2701700,False
Sulawesi Tenggara,76.0,2023,2749000,False
Sulawesi Tenggara,77.0,2024,2793100,False
Sulawesi Tenggara,78.0,2025,2836700,False
Sulawesi Tenggara,80.0,2026,2880000,False
Sulawesi Utara,178.3,2015,2473759,True
Sulawesi Utara,180.4,2016,2502702,True
Sulawesi Utara,182.5,2017,2531984,True
Sulawesi Utara,184.7,2018,2561608,True
Sulawesi Utara,186.8,2019,2591579,True
Sulawesi Utara,189.0,2020,2621900,False
Sulawesi Utara,190.0,2021,2638600,False
Sulawesi Utara,183.0,2022,2659500,False
Sulawesi Utara,185.0,2023,2681500,False
Sulawesi Utara,186.0,2024,2701800,False
Sulawesi Utara,188.0,2025,2721400,False
Sulawesi Utara,189.0,2026,2740500,False
Sumatera Barat,124.5,2015,5221793,True
Sumatera Barat,126.0,2016,5282888,True
Sumatera Barat,127.5,2017,5344698,True
Sumatera Barat,129.0,2018,5407231,True
Sumatera Barat,130.5,2019,5470495,True
Sumatera Barat,132.0,2020,5534500,False
Sumatera Barat,133.0,2021,5580200,False
Sumatera Barat,134.0,2022,5640600,False
Sumatera Barat,137.0,2023,5757200,False
Sumatera Barat,139.0,2024,5836200,False
Sumatera Barat,140.0,2025,5914300,False
Sumatera Barat,142.0,2026,5991600,False
Sumatera Selatan,86.8,2015,7988980,True
Sumatera Selatan,87.8,2016,8082451,True
Sumatera Selatan,88.8,2017,8177016,True
Sumatera Selatan,89.9,2018,8272687,True
Sumatera Selatan,90.9,2019,8369477,True
Sumatera Selatan,92.0,2020,8467400,False
Sumatera Selatan,93.0,2021,8550900,False
Sumatera Selatan,100.0,2022,8657000,False
Sumatera Selatan,101.0,2023,8743500,False
Sumatera Selatan,102.0,2024,8837300,False
Sumatera Selatan,103.0,2025,8928500,False
Sumatera Selatan,104.0,2026,9017100,False
Sumatera Utara,191.5,2015,13963213,True
