provinsi,tahun,crime_total,is_outlier,population,population_density,pop_extrapolated,crime_rate_per100k,unemployment_rate,pulau,region,pulau_enc,region_enc,crime_rate_per100k_scaled,population_scaled,population_density_scaled,unemployment_rate_scaled
Kalimantan Barat,2019,4721.0,False,5351784.0,36.6,True,88.2,4.045,Kalimantan,Kalimantan Bagian Barat,2,4,-0.8200352998395112,-0.2384216026976754,-0.2684636268441548,-0.201202094519332
Kalimantan Barat,2020,3858.0,False,5414400.0,37.0,False,71.3,4.045,Kalimantan,Kalimantan Bagian Barat,2,4,-1.0162259140696082,-0.2327483257142559,-0.2683131701854363,-0.201202094519332
Kalimantan Barat,2021,4048.0,False,5470800.0,37.0,False,74.0,4.045,Kalimantan,Kalimantan Bagian Barat,2,4,-0.984881851441131,-0.2276382448744569,-0.2683131701854363,-0.201202094519332
Kalimantan Selatan,2015,6809.0,False,3843436.0,99.1,True,177.2,4.045,Kalimantan,Kalimantan Bagian Selatan,2,5,0.2131578756917677,-0.3750843724591861,-0.2449547739193832,-0.201202094519332
Kalimantan Selatan,2016,3712.0,False,3888404.0,100.2,True,95.5,4.045,Kalimantan,Kalimantan Bagian Selatan,2,5,-0.7352902416217771,-0.3710100796364186,-0.2445410181079072,-0.201202094519332
Kalimantan Selatan,2017,6578.0,False,3933898.0,101.4,True,167.2,4.045,Kalimantan,Kalimantan Bagian Selatan,2,5,0.0970687548455565,-0.3668881289675211,-0.2440896481317516,-0.201202094519332
Kalimantan Selatan,2018,2667.0,False,3979925.0,102.6,True,67.0,4.045,Kalimantan,Kalimantan Bagian Selatan,2,5,-1.0661442360334787,-0.3627178862226022,-0.2436382781555959,-0.201202094519332
Kalimantan Selatan,2019,5375.0,False,4026490.0,103.8,True,133.5,4.045,Kalimantan,Kalimantan Bagian Selatan,2,5,-0.2941515824061748,-0.3584988983803107,-0.2431869081794404,-0.201202094519332
Kalimantan Selatan,2020,5206.0,False,4073600.0,105.0,False,127.8,4.045,Kalimantan,Kalimantan Bagian Selatan,2,5,-0.3603223812885152,-0.3542305312107551,-0.2427355382032847,-0.201202094519332
Kalimantan Selatan,2021,4973.0,False,4122600.0,106.0,False,120.6,4.045,Kalimantan,Kalimantan Bagian Selatan,2,5,-0.4439065482977872,-0.3497909219705042,-0.2423593965564884,-0.201202094519332
Kalimantan Tengah,2015,2681.0,False,2519141.0,16.0,True,106.4,4.045,Kalimantan,Kalimantan Bagian Tengah,2,6,-0.6087530998994068,-0.4950711544758823,-0.2762121447681596,-0.201202094519332
Kalimantan Tengah,2016,7211.0,False,2548615.0,16.2,True,282.9,4.045,Kalimantan,Kalimantan Bagian Tengah,2,6,1.4402198830362192,-0.4924006842157363,-0.2761369164388003,-0.201202094519332
Kalimantan Tengah,2017,2699.0,False,2578434.0,16.4,True,104.7,4.045,Kalimantan,Kalimantan Bagian Tengah,2,6,-0.6284882504432628,-0.4896989554823681,-0.2760616881094411,-0.201202094519332
Kalimantan Tengah,2018,5699.0,False,2608602.0,16.6,True,218.5,4.045,Kalimantan,Kalimantan Bagian Tengah,2,6,0.6926059447866197,-0.4869656058586968,-0.2759864597800818,-0.201202094519332
Kalimantan Tengah,2019,2444.0,False,2639122.0,16.8,True,92.6,4.045,Kalimantan,Kalimantan Bagian Tengah,2,6,-0.7689560866671784,-0.484200363531912,-0.2759112314507225,-0.201202094519332
Kalimantan Tengah,2020,2629.0,False,2670000.0,17.0,False,98.5,4.045,Kalimantan,Kalimantan Bagian Tengah,2,6,-0.7004635053679138,-0.4814026848763922,-0.2758360031213632,-0.201202094519332
Kalimantan Tengah,2021,2399.0,False,2702200.0,18.0,False,88.8,4.045,Kalimantan,Kalimantan Bagian Tengah,2,6,-0.8130699525887386,-0.4784852273756559,-0.2754598614745669,-0.201202094519332
