provinsi,tahun,crime_total,is_outlier,population,population_density,pop_extrapolated,crime_rate_per100k,unemployment_rate,pulau,region,pulau_enc,region_enc,crime_rate_per100k_scaled,population_scaled,population_density_scaled,unemployment_rate_scaled
DI Yogyakarta,2023,12061.0,False,3736500.0,1178.0,False,322.8,5.3525,Jawa,Jawa Bagian Tengah,1,2,1.8782716571,-0.3893514057,0.1614410896,1.406253796
DI Yogyakarta,2024,11659.0,False,3759500.0,1186.0,False,310.1,3.3600000000000003,Jawa,Jawa Bagian Tengah,1,2,1.7318375234,-0.3872644748,0.1644497259,-1.0433491576
DKI Jakarta,2015,44461.0,False,9965326.0,15008.2,True,446.2,5.3525,Jawa,Jawa Bagian Barat,1,1,3.3011041061,0.1758281567,5.3626962371,1.406253796
DKI Jakarta,2016,43842.0,False,10081921.0,15183.8,True,434.9,5.3525,Jawa,Jawa Bagian Barat,1,1,3.1708123179,0.1864075357,5.428735803,1.406253796
DKI Jakarta,2017,34767.0,False,10199879.0,15361.5,True,340.9,5.3525,Jawa,Jawa Bagian Barat,1,1,2.0869691233,0.1971105881,5.4955651359,1.406253796
DKI Jakarta,2018,34655.0,False,10319218.0,15541.2,True,335.8,5.3525,Jawa,Jawa Bagian Barat,1,1,2.0281648649,0.207938947,5.5631466278,1.406253796
DKI Jakarta,2019,31934.0,False,10439953.0,15723.0,True,305.9,5.3525,Jawa,Jawa Bagian Barat,1,1,1.683410487,0.2188939736,5.6315178868,1.406253796
DKI Jakarta,2020,26585.0,False,10562100.0,15907.0,False,251.7,5.3525,Jawa,Jawa Bagian Barat,1,1,1.0584711132,0.2299771196,5.7007165208,1.406253796
DKI Jakarta,2021,29103.0,False,10609700.0,15978.0,False,274.3,5.3525,Jawa,Jawa Bagian Barat,1,1,1.3190546897,0.2342961594,5.7274181675,1.406253796
DKI Jakarta,2022,32602.0,False,10680000.0,16158.0,False,305.3,5.3525,Jawa,Jawa Bagian Barat,1,1,1.676492339,0.2406749093,5.7951124834,1.406253796
DKI Jakarta,2023,87426.0,False,10672100.0,16146.0,False,819.2,5.3525,Jawa,Jawa Bagian Barat,1,1,7.6018861441,0.2399580939,5.790599529,1.406253796
DKI Jakarta,2024,77261.0,False,10684900.0,16165.0,False,723.1,6.12,Jawa,Jawa Bagian Barat,1,1,6.4938294314,0.2411195163,5.7977450401,2.3498273302
Gorontalo,2015,3372.0,False,1105497.0,98.1,True,305.0,3.1224999999999996,Sulawesi,Sulawesi Bagian Utara,4,14,1.673033265,-0.6280784346,-0.2446871973,-1.3353344532
Gorontalo,2016,3763.0,False,1118432.0,99.3,True,336.5,3.1224999999999996,Sulawesi,Sulawesi Bagian Utara,4,14,2.0362360376,-0.6269047628,-0.2442359019,-1.3353344532
Gorontalo,2017,3099.0,False,1131517.0,100.4,True,273.9,3.1224999999999996,Sulawesi,Sulawesi Bagian Utara,4,14,1.314442591,-0.6257174805,-0.2438222144,-1.3353344532
Gorontalo,2018,2836.0,False,1144756.0,101.6,True,247.7,3.1224999999999996,Sulawesi,Sulawesi Bagian Utara,4,14,1.0123501262,-0.6245162249,-0.243370919,-1.3353344532
Gorontalo,2019,2367.0,False,1158150.0,102.8,True,204.4,3.1224999999999996,Sulawesi,Sulawesi Bagian Utara,4,14,0.5130904419,-0.6233009052,-0.2429196235,-1.3353344532
Gorontalo,2020,2518.0,False,1171700.0,104.0,False,214.9,3.1224999999999996,Sulawesi,Sulawesi Bagian Utara,4,14,0.6341580327,-0.6220714306,-0.2424683281,-1.3353344532
Gorontalo,2021,2445.0,False,1181000.0,105.0,False,207.0,3.1224999999999996,Sulawesi,Sulawesi Bagian Utara,4,14,0.5430690834,-0.6212275846,-0.2420922485,-1.3353344532
Gorontalo,2022,2488.0,False,1192700.0,99.0,False,208.6,3.1224999999999996,Sulawesi,Sulawesi Bagian Utara,4,14,0.5615174782,-0.6201659719,-0.2443487257,-1.3353344532
Gorontalo,2023,3574.0,False,1213200.0,101.0,False,294.6,3.1224999999999996,Sulawesi,Sulawesi Bagian Utara,4,14,1.5531186988,-0.6183058812,-0.2435965667,-1.3353344532
Gorontalo,2024,3317.0,False,1227800.0,102.0,False,270.2,3.09,Sulawesi,Sulawesi Bagian Utara,4,14,1.271780678,-0.6169811338,-0.2432204871,-1.3752903358
Jambi,2015,10564.0,False,3347722.0,67.0,True,315.6,4.24,Sumatera,Sumatera Bagian Tengah,5,16,1.7952538805,-0.4246276167,-0.2563832708,0.0385332008
Jambi,2016,5904.0,False,3386890.0,67.8,True,174.3,4.24,Sumatera,Sumatera Bagian Tengah,5,16,0.1660300147,-0.421073664,-0.2560824072,0.0385332008
Jambi,2017,9531.0,False,3426517.0,68.6,True,278.2,4.24,Sumatera,Sumatera Bagian Tengah,5,16,1.364022652,-0.4174780634,-0.2557815435,0.0385332008
Jambi,2018,6313.0,False,3466607.0,69.4,True,182.1,4.24,Sumatera,Sumatera Bagian Tengah,5,16,0.2559659393,-0.4138404519,-0.2554806799,0.0385332008
Jambi,2019,6848.0,False,3507166.0,70.2,True,195.3,4.24,Sumatera,Sumatera Bagian Tengah,5,16,0.4081651964,-0.4101602853,-0.2551798163,0.0385332008
Jambi,2020,4709.0,False,3548200.0,71.0,False,132.7,4.24,Sumatera,Sumatera Bagian Tengah,5,16,-0.3136282502,-0.4064370189,-0.2548789526,0.0385332008
Jambi,2021,3701.0,False,3585100.0,72.0,False,103.2,4.24,Sumatera,Sumatera Bagian Tengah,5,16,-0.6537705293,-0.4030888557,-0.2545028731,0.0385332008
Jambi,2022,5359.0,False,3631100.0,74.0,False,147.6,4.24,Sumatera,Sumatera Bagian Tengah,5,16,-0.1418275736,-0.3989149938,-0.2537507141,0.0385332008
