provinsi,tahun,crime_total,is_outlier,population,population_density,pop_extrapolated,crime_rate_per100k,unemployment_rate,pulau,region,pulau_enc,region_enc,crime_rate_per100k_scaled,population_scaled,population_density_scaled,unemployment_rate_scaled,crime_rate_lag1,crime_rate_lag2,crime_rate_ma3,crime_rate_yoy_abs,crime_rate_yoy_change,trend_direction,trend_direction_enc,unemp_x_density,crime_per_density,danger_level,danger_level_enc
Riau,2016,8520.0,False,6103408.0,69.7,True,139.6,4.24,Sumatera,Sumatera Bagian Tengah,5,16,-0.2340695476,-0.174587335,-0.255367856,0.0385332008,159.0,,149.3,-19.4,-12.2,Turun,-1.0,295.53,2.0029,Sedang,1
Riau,2017,6869.0,False,6174818.0,70.5,True,111.2,4.24,Sumatera,Sumatera Bagian Tengah,5,16,-0.5615285553,-0.168107868,-0.2550669924,0.0385332008,139.6,159.0,136.6,-28.4,-20.34,Turun,-1.0,298.92,1.5773,Sedang,1
Riau,2018,7246.0,False,6247064.0,71.3,True,116.0,4.24,Sumatera,Sumatera Bagian Tengah,5,16,-0.5061833709,-0.1615525456,-0.2547661288,0.0385332008,111.2,139.6,122.3,4.8,4.32,Stabil,0.0,302.31,1.6269,Sedang,1
Riau,2019,6570.0,False,6320154.0,72.2,True,104.0,4.24,Sumatera,Sumatera Bagian Tengah,5,16,-0.6445463319,-0.1549206419,-0.2544276572,0.0385332008,116.0,111.2,110.4,-12.0,-10.34,Turun,-1.0,306.13,1.4404,Sedang,1
Riau,2020,8194.0,False,6394100.0,73.0,False,128.1,4.24,Sumatera,Sumatera Bagian Tengah,5,16,-0.3666673852,-0.148211068,-0.2541267936,0.0385332008,104.0,116.0,116.0,24.1,23.17,Naik,1.0,309.52,1.7548,Sedang,1
Riau,2021,7512.0,False,6493600.0,75.0,False,115.7,4.24,Sumatera,Sumatera Bagian Tengah,5,16,-0.5096424449,-0.1391828231,-0.2533746345,0.0385332008,128.1,104.0,115.9,-12.4,-9.68,Turun,-1.0,318.0,1.5427,Sedang,1
Sulawesi Barat,2018,1817.0,False,1386565.0,83.0,True,131.0,3.1224999999999996,Sulawesi,Sulawesi Bagian Barat,4,11,-0.3332296696,-0.6025754122,-0.2503659983,-1.3353344532,,,,,,,,259.17,1.5783,Sedang,1
Sulawesi Barat,2019,1863.0,False,1402787.0,84.0,True,132.8,3.1224999999999996,Sulawesi,Sulawesi Bagian Barat,4,11,-0.3124752255,-0.6011034907,-0.2499899187,-1.3353344532,131.0,,131.9,1.8,1.37,Stabil,0.0,262.29,1.581,Sedang,1
Sulawesi Barat,2020,1704.0,False,1419200.0,85.0,False,120.1,3.1224999999999996,Sulawesi,Sulawesi Bagian Barat,4,11,-0.4589093592,-0.5996142386,-0.2496138392,-1.3353344532,132.8,131.0,128.0,-12.7,-9.56,Turun,-1.0,265.41,1.4129,Sedang,1
Sulawesi Barat,2021,1500.0,False,1436800.0,86.0,False,104.4,3.1224999999999996,Sulawesi,Sulawesi Bagian Barat,4,11,-0.6399342332,-0.5980172827,-0.2492377597,-1.3353344532,120.1,132.8,119.1,-15.7,-13.07,Turun,-1.0,268.53,1.214,Sedang,1
Sulawesi Selatan,2015,16088.0,False,8560834.0,183.0,True,187.9,3.1224999999999996,Sulawesi,Sulawesi Bagian Selatan,4,12,0.3228413705,0.0483899887,-0.212758045,-1.3353344532,,,,,,,,571.42,1.0268,Sedang,1
Sulawesi Selatan,2016,15071.0,False,8660996.0,185.2,True,174.0,3.1224999999999996,Sulawesi,Sulawesi Bagian Selatan,4,12,0.1625709406,0.0574783009,-0.2119306701,-1.3353344532,187.9,,181.0,-13.9,-7.4,Turun,-1.0,578.29,0.9395,Sedang,1
Sulawesi Selatan,2017,21616.0,False,8762330.0,187.3,True,246.7,3.1224999999999996,Sulawesi,Sulawesi Bagian Selatan,4,12,1.0008198794,0.0666729559,-0.211140903,-1.3353344532,174.0,187.9,202.9,72.7,41.78,Naik,1.0,584.84,1.3171,Tinggi,2
