provinsi,tahun,pulau,region,pulau_enc,region_enc,crime_rate_per100k_scaled,population_scaled,population_density_scaled,unemployment_rate_scaled
Jawa Barat,2017,Jawa,Jawa Bagian Barat,1,1,-1.2170600931335533,3.5005340341173428,0.21359950769004316,1.4062537959680732
Jawa Barat,2018,Jawa,Jawa Bagian Barat,1,1,-1.444594769992127,3.5499531366559802,0.21939208905070684,1.4062537959680732
Jawa Barat,2019,Jawa,Jawa Bagian Barat,1,1,-1.5246962633760128,3.5999503850428223,0.2252598987407299,1.4062537959680732
Jawa Barat,2020,Jawa,Jawa Bagian Barat,1,1,-1.5734536941314212,3.6505325745981354,0.23120293676011217,1.4062537959680732
Jawa Barat,2021,Jawa,Jawa Bagian Barat,1,1,-1.6651640995999282,3.6965776647184523,0.23646891981526102,1.4062537959680732
Jawa Barat,2022,Jawa,Jawa Bagian Barat,1,1,-1.150889294251213,3.7530603667668694,0.2195425457094254,1.4062537959680732
Jawa Barat,2023,Jawa,Jawa Bagian Barat,1,1,-0.7805649987517995,3.7942400075769522,0.22405624547098157,1.4062537959680732
Jawa Barat,2024,Jawa,Jawa Bagian Barat,1,1,-0.9755947217734342,3.8381740182013946,0.2289460868793341,3.2227096875131145
Jawa Tengah,2015,Jawa,Jawa Bagian Tengah,1,2,-1.306448716185136,2.398254170703038,0.11275593218394254,1.4062537959680732
Jawa Tengah,2016,Jawa,Jawa Bagian Tengah,1,2,-1.3656541678167036,2.4347765708158273,0.11738247443953767,1.4062537959680732
Jawa Tengah,2017,Jawa,Jawa Bagian Tengah,1,2,-1.4480774436175134,2.471726260666923,0.12204663085981232,1.4062537959680732
Jawa Tengah,2018,Jawa,Jawa Bagian Tengah,1,2,-1.5467531963367929,2.5091082234911872,0.12678601560944636,1.4062537959680732
Jawa Tengah,2019,Jawa,Jawa Bagian Tengah,1,2,-1.5119264600829296,2.5469276237320213,0.13156301452375987,1.4062537959680732
Jawa Tengah,2020,Jawa,Jawa Bagian Tengah,1,2,-1.5038002216236945,2.5851894446242865,0.13641524176743278,1.4062537959680732
Jawa Tengah,2021,Jawa,Jawa Bagian Tengah,1,2,-1.5630056732552626,2.605711311826671,0.1390482332950072,1.4062537959680732
Jawa Tengah,2022,Jawa,Jawa Bagian Tengah,1,2,-0.901297684431859,2.631977489760319,0.12325028412956066,1.4062537959680732
Jawa Tengah,2023,Jawa,Jawa Bagian Tengah,1,2,-0.5356169537662939,2.6780588215887198,0.12889240883150585,1.4062537959680732
Jawa Tengah,2024,Jawa,Jawa Bagian Tengah,1,2,-0.5739263636455436,2.7098881017132124,0.13302996694626568,0.46268026178139365
Jawa Timur,2015,Jawa,Jawa Bagian Timur,1,3,-1.8439413457030933,2.7529912711798366,0.019773717095885646,1.4062537959680732
Jawa Timur,2016,Jawa,Jawa Bagian Timur,1,3,-1.6814165765183977,2.793664071702369,0.0233094485757713,1.4062537959680732
Jawa Timur,2017,Jawa,Jawa Bagian Timur,1,3,-0.9895254162749795,2.83481272585204,0.02688279422033659,1.4062537959680732
Jawa Timur,2018,Jawa,Jawa Bagian Timur,1,3,-1.0754313657011756,2.876442851093603,0.03049375402958153,1.4062537959680732
Jawa Timur,2019,Jawa,Jawa Bagian Timur,1,3,-1.0649833448250168,2.9185600648918104,0.034179942168185755,1.4062537959680732
Jawa Timur,2020,Jawa,Jawa Bagian Timur,1,3,-1.340114561230537,2.9611699847114155,0.03786613030678993,1.4062537959680732
Jawa Timur,2021,Jawa,Jawa Bagian Timur,1,3,-1.297161586517439,2.9804777546929966,0.03937069689397532,1.4062537959680732
Jawa Timur,2022,Jawa,Jawa Bagian Timur,1,3,-0.3800575318323711,3.0050496327737326,0.04012298018756801,1.4062537959680732
Jawa Timur,2023,Jawa,Jawa Bagian Timur,1,3,0.021610826295519327,3.0392889864857904,0.04313211336193879,1.4062537959680732
Jawa Timur,2024,Jawa,Jawa Bagian Timur,1,3,-0.1757406791430396,3.0652561703277477,0.04501282159592052,-0.2995550361935137
Kalimantan Barat,2015,Kalimantan,Kalimantan Bagian Barat,2,4,-0.3289783186600381,-0.26046607466092553,-0.26910306764370867,-0.20120209451933205
Kalimantan Barat,2016,Kalimantan,Kalimantan Bagian Barat,2,4,-0.2012802857292059,-0.25505074803479166,-0.2689526109849901,-0.20120209451933205
Kalimantan Barat,2017,Kalimantan,Kalimantan Bagian Barat,2,4,-0.5077555647632034,-0.24957208902378158,-0.2688021543262716,-0.20120209451933205
Kalimantan Barat,2018,Kalimantan,Kalimantan Bagian Barat,2,4,-0.568121907603233,-0.2440292821894634,-0.26865169766755304,-0.20120209451933205
Kalimantan Barat,2019,Kalimantan,Kalimantan Bagian Barat,2,4,-0.8200352998395112,-0.2384216026976754,-0.26846362684415487,-0.20120209451933205
Kalimantan Barat,2020,Kalimantan,Kalimantan Bagian Barat,2,4,-1.0162259140696082,-0.23274832571425597,-0.2683131701854363,-0.20120209451933205
Kalimantan Barat,2021,Kalimantan,Kalimantan Bagian Barat,2,4,-0.984881851441131,-0.22763824487445694,-0.2683131701854363,-0.20120209451933205
Kalimantan Barat,2022,Kalimantan,Kalimantan Bagian Barat,2,4,-1.0115823492357596,-0.2212415833976872,-0.26793702853864,-0.20120209451933205
Kalimantan Barat,2023,Kalimantan,Kalimantan Bagian Barat,2,4,-0.59946597023171,-0.2138210936675535,-0.26793702853864,-0.20120209451933205
Kalimantan Barat,2024,Kalimantan,Kalimantan Bagian Barat,2,4,-0.5704436900201573,-0.20727946535844904,-0.26756088689184365,0.3950626143803942
Kalimantan Selatan,2015,Kalimantan,Kalimantan Bagian Selatan,2,5,0.2131578756917677,-0.3750843724591861,-0.2449547739193832,-0.20120209451933205
Kalimantan Selatan,2016,Kalimantan,Kalimantan Bagian Selatan,2,5,-0.7352902416217771,-0.37101007963641863,-0.2445410181079072,-0.20120209451933205
Kalimantan Selatan,2017,Kalimantan,Kalimantan Bagian Selatan,2,5,0.09706875484555656,-0.36688812896752115,-0.2440896481317516,-0.20120209451933205
Kalimantan Selatan,2018,Kalimantan,Kalimantan Bagian Selatan,2,5,-1.0661442360334787,-0.3627178862226022,-0.24363827815559597,-0.20120209451933205
Kalimantan Selatan,2019,Kalimantan,Kalimantan Bagian Selatan,2,5,-0.2941515824061748,-0.3584988983803107,-0.2431869081794404,-0.20120209451933205
Kalimantan Selatan,2020,Kalimantan,Kalimantan Bagian Selatan,2,5,-0.3603223812885152,-0.35423053121075515,-0.24273553820328475,-0.20120209451933205
Kalimantan Selatan,2021,Kalimantan,Kalimantan Bagian Selatan,2,5,-0.44390654829778725,-0.3497909219705042,-0.24235939655648842,-0.20120209451933205
Kalimantan Selatan,2022,Kalimantan,Kalimantan Bagian Selatan,2,5,-0.45203278675702185,-0.3443999678930566,-0.23972640502891399,-0.20120209451933205
Kalimantan Selatan,2023,Kalimantan,Kalimantan Bagian Selatan,2,5,-0.09099562092530533,-0.3407576762306467,-0.23935026338211762,-0.20120209451933205
Kalimantan Selatan,2024,Kalimantan,Kalimantan Bagian Selatan,2,5,-0.22681989231537222,-0.3361277980229564,-0.2389741217353213,-0.20120209451933205
Kalimantan Tengah,2015,Kalimantan,Kalimantan Bagian Tengah,2,6,-0.6087530998994068,-0.49507115447588235,-0.27621214476815964,-0.20120209451933205
Kalimantan Tengah,2016,Kalimantan,Kalimantan Bagian Tengah,2,6,1.4402198830362192,-0.4924006842157363,-0.27613691643880034,-0.20120209451933205
Kalimantan Tengah,2017,Kalimantan,Kalimantan Bagian Tengah,2,6,-0.6284882504432628,-0.4896989554823681,-0.2760616881094411,-0.20120209451933205
Kalimantan Tengah,2018,Kalimantan,Kalimantan Bagian Tengah,2,6,0.6926059447866197,-0.48696560585869686,-0.2759864597800818,-0.20120209451933205
Kalimantan Tengah,2019,Kalimantan,Kalimantan Bagian Tengah,2,6,-0.7689560866671784,-0.484200363531912,-0.27591123145072255,-0.20120209451933205
Kalimantan Tengah,2020,Kalimantan,Kalimantan Bagian Tengah,2,6,-0.7004635053679138,-0.4814026848763922,-0.27583600312136325,-0.20120209451933205
Kalimantan Tengah,2021,Kalimantan,Kalimantan Bagian Tengah,2,6,-0.8130699525887386,-0.4784852273756559,-0.2754598614745669,-0.20120209451933205
Kalimantan Tengah,2022,Kalimantan,Kalimantan Bagian Tengah,2,6,-0.493824870261658,-0.4749607212645179,-0.2754598614745669,-0.20120209451933205
Kalimantan Tengah,2023,Kalimantan,Kalimantan Bagian Tengah,2,6,0.006519240585512079,-0.4720070220556979,-0.2754598614745669,-0.20120209451933205
Kalimantan Tengah,2024,Kalimantan,Kalimantan Bagian Tengah,2,6,0.17949203064636673,-0.4687452683281666,-0.2754598614745669,-0.45323150755942243
Kalimantan Timur,2015,Kalimantan,Kalimantan Bagian Timur,2,7,1.018816374364473,-0.4013795437593009,-0.2719241299946813,-0.20120209451933205
Kalimantan Timur,2016,Kalimantan,Kalimantan Bagian Timur,2,7,1.029264395240632,-0.39761294303816397,-0.2718112875006423,-0.20120209451933205
Kalimantan Timur,2017,Kalimantan,Kalimantan Bagian Timur,2,7,1.0768609347875786,-0.3938022180374351,-0.27169844500660345,-0.20120209451933205
Kalimantan Timur,2018,Kalimantan,Kalimantan Bagian Timur,2,7,0.14002172955865488,-0.3899469157357633,-0.2715856025125646,-0.20120209451933205
Kalimantan Timur,2019,Kalimantan,Kalimantan Bagian Timur,2,7,-0.46596348125856724,-0.3860464925075273,-0.271435145853846,-0.20120209451933205
Kalimantan Timur,2020,Kalimantan,Kalimantan Bagian Timur,2,7,-0.7318075679963908,-0.38210040472710594,-0.2713223033598071,-0.20120209451933205
Kalimantan Timur,2021,Kalimantan,Kalimantan Bagian Timur,2,7,-0.4531936779654841,-0.37827690452427754,-0.2709461617130108,-0.20120209451933205
Kalimantan Timur,2022,Kalimantan,Kalimantan Bagian Timur,2,7,-0.5739263636455436,-0.3736017241814827,-0.2709461617130108,-0.20120209451933205
Kalimantan Timur,2023,Kalimantan,Kalimantan Bagian Timur,2,7,0.16440044493635914,-0.3690805710980435,-0.2705700200662144,-0.20120209451933205
Kalimantan Timur,2024,Kalimantan,Kalimantan Bagian Timur,2,7,0.20967520206638154,-0.35674026949555004,-0.27019387841941805,1.519974384778846
Kalimantan Utara,2019,Kalimantan,Kalimantan Bagian Timur,2,7,-0.37773574941544685,-0.6604653537591632,-0.27888275046041366,-0.20120209451933205
Kalimantan Utara,2020,Kalimantan,Kalimantan Bagian Timur,2,7,-0.16529265826688053,-0.6597300095021452,-0.27884513629573404,-0.20120209451933205
Kalimantan Utara,2021,Kalimantan,Kalimantan Bagian Timur,2,7,-0.26396841098616,-0.6586608791136767,-0.27884513629573404,-0.20120209451933205
Kalimantan Utara,2022,Kalimantan,Kalimantan Bagian Timur,2,7,0.19806628998176043,-0.6573742984767059,-0.2784689946489377,-0.20120209451933205
Kalimantan Utara,2023,Kalimantan,Kalimantan Bagian Timur,2,7,0.860935170013626,-0.6571749690822457,-0.2784689946489377,-0.20120209451933205
Kalimantan Utara,2024,Kalimantan,Kalimantan Bagian Timur,2,7,0.6554574261158324,-0.6562870472341955,-0.27809285300214137,-0.3118491539027861
Kepulauan Bangka Belitung,2015,Sumatera,Sumatera Bagian Selatan,5,15,-0.2593248461523115,-0.598875560811864,-0.250634512786008,0.03853320081148591
Kepulauan Bangka Belitung,2016,Sumatera,Sumatera Bagian Selatan,5,15,-0.0944782945506918,-0.5974196407938722,-0.2502583711392117,0.03853320081148591
Kepulauan Bangka Belitung,2017,Sumatera,Sumatera Bagian Selatan,5,15,-0.2488768252761524,-0.595946596568811,-0.249919843657095,0.03853320081148591
Kepulauan Bangka Belitung,2018,Sumatera,Sumatera Bagian Selatan,5,15,-0.17225800551765313,-0.5944564281366803,-0.249506087845619,0.03853320081148591
Kepulauan Bangka Belitung,2019,Sumatera,Sumatera Bagian Selatan,5,15,-0.2686119758200085,-0.5929487730803992,-0.24912994619882264,0.03853320081148591
Kepulauan Bangka Belitung,2020,Sumatera,Sumatera Bagian Selatan,5,15,-0.30343871207387185,-0.5914234501914272,-0.2487538045520263,0.03853320081148591
Kepulauan Bangka Belitung,2021,Sumatera,Sumatera Bagian Selatan,5,15,-0.6099139911078691,-0.5898378754627662,-0.24837766290522995,0.03853320081148591
Kepulauan Bangka Belitung,2022,Sumatera,Sumatera Bagian Selatan,5,15,-0.2349461307746072,-0.5878989440802892,-0.24837766290522995,0.03853320081148591
Kepulauan Bangka Belitung,2023,Sumatera,Sumatera Bagian Selatan,5,15,-0.1467183989314868,-0.58633149020567,-0.2480015212584336,0.03853320081148591
Kepulauan Bangka Belitung,2024,Sumatera,Sumatera Bagian Selatan,5,15,0.16091777131097268,-0.5845556465095696,-0.24762537961163728,0.03853320081148591
